                                                                                                                                                                                                
{'loss': 1.968, 'grad_norm': 0.9725666046142578, 'learning_rate': 4e-05, 'epoch': 0.01}
{'loss': 2.0254, 'grad_norm': 0.9567577242851257, 'learning_rate': 8e-05, 'epoch': 0.02}
{'loss': 2.0364, 'grad_norm': 1.0041433572769165, 'learning_rate': 0.00012, 'epoch': 0.03}
{'loss': 2.0678, 'grad_norm': 1.0625977516174316, 'learning_rate': 0.00016, 'epoch': 0.04}
{'loss': 1.6566, 'grad_norm': 0.8127204775810242, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 1.3951, 'grad_norm': 0.5742411017417908, 'learning_rate': 0.00019636363636363636, 'epoch': 0.06}
{'loss': 1.3637, 'grad_norm': 0.6296609044075012, 'learning_rate': 0.00019272727272727274, 'epoch': 0.06}
{'loss': 1.3781, 'grad_norm': 0.8232946991920471, 'learning_rate': 0.0001890909090909091, 'epoch': 0.07}
{'loss': 1.2692, 'grad_norm': 0.7812361717224121, 'learning_rate': 0.00018545454545454545, 'epoch': 0.08}
{'loss': 1.4702, 'grad_norm': 0.532873272895813, 'learning_rate': 0.00018181818181818183, 'epoch': 0.09}
{'loss': 1.1839, 'grad_norm': 0.4346728026866913, 'learning_rate': 0.0001781818181818182, 'epoch': 0.1}
{'loss': 1.2397, 'grad_norm': 0.3773050904273987, 'learning_rate': 0.00017454545454545454, 'epoch': 0.11}
{'loss': 1.2529, 'grad_norm': 0.46404168009757996, 'learning_rate': 0.0001709090909090909, 'epoch': 0.12}
{'loss': 1.1968, 'grad_norm': 0.3906807005405426, 'learning_rate': 0.00016727272727272728, 'epoch': 0.13}
{'loss': 1.2264, 'grad_norm': 0.3825061023235321, 'learning_rate': 0.00016363636363636366, 'epoch': 0.14}
{'loss': 1.1341, 'grad_norm': 0.43338721990585327, 'learning_rate': 0.00016, 'epoch': 0.15}
{'loss': 1.2197, 'grad_norm': 0.3984777331352234, 'learning_rate': 0.00015636363636363637, 'epoch': 0.16}
{'loss': 1.149, 'grad_norm': 0.38171473145484924, 'learning_rate': 0.00015272727272727275, 'epoch': 0.17}
{'loss': 1.2492, 'grad_norm': 0.4168581962585449, 'learning_rate': 0.0001490909090909091, 'epoch': 0.17}
{'loss': 1.2875, 'grad_norm': 0.5106816291809082, 'learning_rate': 0.00014545454545454546, 'epoch': 0.18}
{'loss': 0.96, 'grad_norm': 0.41251835227012634, 'learning_rate': 0.00014181818181818184, 'epoch': 0.19}
{'loss': 1.145, 'grad_norm': 0.36183100938796997, 'learning_rate': 0.0001381818181818182, 'epoch': 0.2}
{'loss': 1.0034, 'grad_norm': 0.453329473733902, 'learning_rate': 0.00013454545454545455, 'epoch': 0.21}
{'loss': 1.0671, 'grad_norm': 0.4295044243335724, 'learning_rate': 0.00013090909090909093, 'epoch': 0.22}
{'loss': 1.0588, 'grad_norm': 0.4366981089115143, 'learning_rate': 0.00012727272727272728, 'epoch': 0.23}
{'loss': 1.0803, 'grad_norm': 0.5477474927902222, 'learning_rate': 0.00012363636363636364, 'epoch': 0.24}
{'loss': 1.2058, 'grad_norm': 0.4094620645046234, 'learning_rate': 0.00012, 'epoch': 0.25}
{'loss': 0.9572, 'grad_norm': 0.39027172327041626, 'learning_rate': 0.00011636363636363636, 'epoch': 0.26}
{'loss': 1.0365, 'grad_norm': 0.43054792284965515, 'learning_rate': 0.00011272727272727272, 'epoch': 0.27}
{'loss': 1.0412, 'grad_norm': 0.42020919919013977, 'learning_rate': 0.00010909090909090909, 'epoch': 0.28}
{'loss': 1.2304, 'grad_norm': 0.4336531460285187, 'learning_rate': 0.00010545454545454545, 'epoch': 0.28}
{'loss': 1.1406, 'grad_norm': 0.49597692489624023, 'learning_rate': 0.00010181818181818181, 'epoch': 0.29}
{'loss': 1.1037, 'grad_norm': 0.41698572039604187, 'learning_rate': 9.818181818181818e-05, 'epoch': 0.3}
{'loss': 1.183, 'grad_norm': 0.45461514592170715, 'learning_rate': 9.454545454545455e-05, 'epoch': 0.31}
{'loss': 1.0556, 'grad_norm': 0.4034937620162964, 'learning_rate': 9.090909090909092e-05, 'epoch': 0.32}
{'loss': 0.9951, 'grad_norm': 0.40981021523475647, 'learning_rate': 8.727272727272727e-05, 'epoch': 0.33}
{'loss': 0.9515, 'grad_norm': 0.4509730935096741, 'learning_rate': 8.363636363636364e-05, 'epoch': 0.34}
{'loss': 0.948, 'grad_norm': 0.467752605676651, 'learning_rate': 8e-05, 'epoch': 0.35}
{'loss': 0.9912, 'grad_norm': 0.4440739154815674, 'learning_rate': 7.636363636363637e-05, 'epoch': 0.36}
{'loss': 1.1888, 'grad_norm': 0.3799213469028473, 'learning_rate': 7.272727272727273e-05, 'epoch': 0.37}
{'loss': 1.1207, 'grad_norm': 0.4915716350078583, 'learning_rate': 6.90909090909091e-05, 'epoch': 0.38}
{'loss': 1.0689, 'grad_norm': 0.43979495763778687, 'learning_rate': 6.545454545454546e-05, 'epoch': 0.39}
{'loss': 1.0164, 'grad_norm': 0.46348658204078674, 'learning_rate': 6.181818181818182e-05, 'epoch': 0.39}
{'loss': 1.0707, 'grad_norm': 0.48346951603889465, 'learning_rate': 5.818181818181818e-05, 'epoch': 0.4}
{'loss': 1.0248, 'grad_norm': 0.4428147077560425, 'learning_rate': 5.4545454545454546e-05, 'epoch': 0.41}
{'loss': 0.9026, 'grad_norm': 0.4780973196029663, 'learning_rate': 5.090909090909091e-05, 'epoch': 0.42}
{'loss': 1.0518, 'grad_norm': 0.5078428387641907, 'learning_rate': 4.7272727272727275e-05, 'epoch': 0.43}
{'loss': 0.906, 'grad_norm': 0.4986363649368286, 'learning_rate': 4.3636363636363636e-05, 'epoch': 0.44}
{'loss': 1.0303, 'grad_norm': 0.4552951753139496, 'learning_rate': 4e-05, 'epoch': 0.45}
{'loss': 0.9882, 'grad_norm': 0.4445616900920868, 'learning_rate': 3.6363636363636364e-05, 'epoch': 0.46}
{'loss': 0.9624, 'grad_norm': 0.4361723065376282, 'learning_rate': 3.272727272727273e-05, 'epoch': 0.47}
{'loss': 1.0256, 'grad_norm': 0.4739331007003784, 'learning_rate': 2.909090909090909e-05, 'epoch': 0.48}
{'loss': 1.0895, 'grad_norm': 0.47783541679382324, 'learning_rate': 2.5454545454545454e-05, 'epoch': 0.49}
{'loss': 0.9177, 'grad_norm': 0.4419081211090088, 'learning_rate': 2.1818181818181818e-05, 'epoch': 0.5}
{'loss': 1.0711, 'grad_norm': 0.4332731068134308, 'learning_rate': 1.8181818181818182e-05, 'epoch': 0.5}
{'loss': 1.0428, 'grad_norm': 0.4662173390388489, 'learning_rate': 1.4545454545454545e-05, 'epoch': 0.51}
{'loss': 0.95, 'grad_norm': 0.4537293612957001, 'learning_rate': 1.0909090909090909e-05, 'epoch': 0.52}
{'loss': 1.0581, 'grad_norm': 0.46418651938438416, 'learning_rate': 7.272727272727272e-06, 'epoch': 0.53}
{'loss': 0.9656, 'grad_norm': 0.5057923793792725, 'learning_rate': 3.636363636363636e-06, 'epoch': 0.54}
{'loss': 1.0516, 'grad_norm': 0.4518968164920807, 'learning_rate': 0.0, 'epoch': 0.55}
{'train_runtime': 373.9822, 'train_samples_per_second': 1.283, 'train_steps_per_second': 0.16, 'train_loss': 1.1737978031237921, 'epoch': 0.55}
